Barramento,Nivel_Hierarquico
725621,358
758291,358
580891,358
133771,358
uc1607305,358
74011,358
337701,358
et16_2658,358
bt74781,358
bt3381,358
4291,359
725651,359
758301,359
580901,359
133761,359
74001,359
16cf181,359
uc1620373,359
bt74791,359
bt74811,359
63661,360
725661,360
758311,360
580911,360
151401,360
816861,360
74841,360
bt74801,360
bt74821,360
63671,361
et6_726,361
725671,361
758321,361
580921,361
151311,361
24521,361
16fr244,361
74851,361
uc1607308,361
bt74831,361
63681,362
725681,362
758331,362
580931,362
24531,362
151301,362
6fr139,362
73991,362
74861,362
uc1607306,362
63691,363
725691,363
758341,363
580941,363
6cf140,363
648931,363
151411,363
73981,363
74871,363
63701,364
725701,364
758351,364
580951,364
151321,364
6cf1155,364
133721,364
73971,364
74881,364
63711,365
725711,365
758361,365
580961,365
151331,365
151291,365
133731,365
73961,365
74891,365
63721,366
725721,366
758371,366
580971,366
643171,366
151341,366
151281,366
133741,366
73951,366
74901,366
63731,367
725731,367
758381,367
580981,367
mrt_643171trf_6_3818a,367
151371,367
151271,367
133751,367
73941,367
74911,367
63741,368
et6_5157,368
758391,368
580991,368
et6_3818,368
151391,368
151261,368
17991,368
73931,368
74921,368
63751,369
758401,369
581001,369
uc627343,369
mrt_151391trf_6_1445a,369
151251,369
18001,369
73921,369
74941,369
63761,370
758411,370
581011,370
et6_1445,370
151241,370
18021,370
et6_810,370
73911,370
74931,370
63771,371
758421,371
581021,371
bt151381,371
uc606130,371
uc628766,371
151231,371
18031,371
bt18011,371
63341,371
74951,371
63781,372
758431,372
581031,372
bt151371,372
151221,372
18041,372
uc606132,372
63331,372
74961,372
63791,373
758441,373
581041,373
bt151351,373
151211,373
18051,373
63321,373
74971,373
63801,374
758451,374
581051,374
bt151361,374
151201,374
18061,374
63311,374
75761,374
63811,375
758461,375
581061,375
151191,375
18071,375
62401,375
75771,375
63821,376
758471,376
581071,376
10881,376
18081,376
62391,376
342741,376
75781,376
63831,377
758481,377
581081,377
10851,377
10891,377
18091,377
62381,377
16cf182,377
75791,377
63841,378
758491,378
581091,378
10861,378
10841,378
10901,378
28561,378
62371,378
44261,378
56821,378
63851,379
758531,379
814201,379
581101,379
10871,379
10831,379
10911,379
28571,379
62361,379
44271,379
337711,379
56831,379
64731,380
758541,380
6cf1610,380
581111,380
et6_808,380
10821,380
10921,380
28581,380
61311,380
44281,380
337721,380
et16_4674,380
56841,380
64741,381
758551,381
758501,381
581121,381
uc606127,381
10811,381
10931,381
28591,381
61301,381
44291,381
56851,381
22991,382
et6_728,382
758561,382
758511,382
mrt_581121trf_6_3721a,382
330381,382
10941,382
28601,382
61291,382
44301,382
56861,382
23001,383
bt21331,383
bt21341,383
758571,383
758521,383
et6_3721,383
354301,383
132131,383
28611,383
61281,383
44311,383
56891,383
et11_305,383
23011,384
uc606109,384
bt21351,384
758581,384
et6_5712,384
10801,384
132181,384
132141,384
28621,384
61271,384
44321,384
56901,384
bt56871,384
23021,385
bt22981,385
758591,385
uc635543,385
uc635966,385
et6_1350,385
132191,385
132151,385
28631,385
61261,385
44331,385
814981,385
302141,385
bt56881,385
23031,386
uc606110,386
758601,386
uc606126,386
132201,386
132161,386
761661,386
28641,386
61251,386
44341,386
814991,386
302151,386
uc1607347,386
23041,387
758611,387
132211,387
761701,387
761671,387
28651,387
61241,387
44361,387
815001,387
302161,387
23051,388
758621,388
151151,388
et6_1262,388
761681,388
28661,388
61231,388
44371,388
815011,388
302171,388
23061,389
758631,389
151161,389
bt132171,389
761691,389
28671,389
61221,389
44381,389
815021,389
818951,389
302181,389
23071,390
758641,390
151171,390
uc606128,390
et6_5659,390
28681,390
61211,390
63251,390
et16_504,390
815121,390
818941,390
302191,390
23081,391
758651,391
151181,391
uc635550,391
28691,391
28751,391
61201,391
bt44371,391
