bus;reduction
135301;-0.02015970438376513
48521;-0.02441328431531531
806791;-0.03853069253232633
68191;-0.048562423732615656
18041;-0.057184418370983536
71161;-0.06323728269567752
151201;-0.06715935047749966
71591;-0.07152258573273329
48481;-0.0798206827078225
48501;-0.08273655533457713
48511;-0.08404377991141843
10821;-0.08573907465397568
133851;-0.09080286174951624
640981;-0.10986403654893095
596121;-0.11959801685970461
71111;-0.12422973660011394
71771;-0.13524410479741178
18051;-0.13617812482199199
71211;-0.1417237000050804
10441;-0.14881677359554502
44101;-0.15632028368221285
553761;-0.18709101193984878
151391;-0.1875507126096636
553751;-0.19027921617705346
581021;-0.19946564784020637
71781;-0.21268292767377517
mrt_65661trf_6_125a;-0.22438482217401656
30771;-0.23791918875574325
24491;-0.255365375364061
26891;-0.25857764642807624
14921;-0.26142426422459764
37901;-0.2703311870894005
37941;-0.27477849824352063
51351;-0.2792769269065474
16fr244;-0.279427667328747
63331;-0.2823668189811066
799351;-0.28510096650449057
61251;-0.2873627335136817
7471;-0.29067855224377936
71931;-0.2932397389769754
21881;-0.29386023535763073
278771;-0.29430872550220855
330961;-0.3002360938619901
48681;-0.31156993604685823
3491;-0.312317407775236
26411;-0.3128423686637589
3511;-0.31429241369289684
mrt_48421trf_16_2139a;-0.315368393644583
818721;-0.317654990298621
332101;-0.32788492937632796
655671;-0.3286072317218327
818651;-0.32915419927124745
37961;-0.3316439911135447
580971;-0.33410473433104926
mrt_640981trf_11_3987a;-0.33458596054460443
17961;-0.3416713890415366
mrt_596121trf_6_3434a;-0.3426514340018336
818201;-0.34919913726394114
660961;-0.35239013350687287
818101;-0.355768305745503
724281;-0.3557891894269538
330941;-0.3625339557866383
817991;-0.36508089974790536
625391;-0.37065627879794505
7281;-0.37100337939277495
7401;-0.3797594771082764
mrt_10441trf_6_1503a;-0.3811098835359097
489311;-0.38690707280563785
37731;-0.3870020051588554
mrt_30771trf_16_6082a;-0.39515373114867813
151371;-0.3994800517136383
817541;-0.39984642386644254
9681;-0.4011869158727883
580961;-0.40848148491296854
817361;-0.4112819323839112
30831;-0.4187526288725181
mrt_151391trf_6_1445a;-0.4187695000824725
581121;-0.42363492585278806
640621;-0.4331841682314064
74851;-0.43583032772366437
74871;-0.4369728196541409
815621;-0.437579184143555
22011;-0.43977933112987344
14021;-0.44009318137414155
21981;-0.4403020366186645
56831;-0.4457833835933478
7391;-0.4511494449871627
815121;-0.4594487815855324
818901;-0.4613348028837585
818811;-0.4667438499687435
801051;-0.47166888640217763
800941;-0.48218839060212204
320791;-0.4838699097357768
818401;-0.4895354026251866
62911;-0.4897694377747541
mrt_332101trf_6_3613a;-0.4928013200561452
818291;-0.4967289174552505
800841;-0.4975069089009345
758161;-0.49787969641255003
641741;-0.5010631173373419
14011;-0.5120323639116293
633781;-0.5154426532447047
66581;-0.515980626844474
17881;-0.5165250408737627
824661;-0.5196314794410242
822741;-0.5209903972637804
44671;-0.5215934144010568
44681;-0.5228327283122383
44731;-0.5291914220756944
817841;-0.5319903756791504
799891;-0.5356742306224014
42461;-0.536997019017182
42471;-0.5382816146718739
817751;-0.5383755883058825
43971;-0.5426258521426561
817631;-0.54745449725851
44311;-0.5555008396621481
48311;-0.5600375423652295
822481;-0.5615647332954765
48371;-0.5704503395563663
820451;-0.5728108486110948
134551;-0.5784946038162886
800381;-0.5810228509845636
48462;-0.5827918587764351
mrt_17961trf_16_1141a;-0.5830412826310507
817121;-0.5834712482614144
68201;-0.5853845830198026
820721;-0.5862212016807433
275561;-0.5862694983201777
815691;-0.5876265851187519
71191;-0.5971400205753348
191;-0.60670322349781
71151;-0.6255510878590727
801141;-0.6299040101510549
762101;-0.6303486389191235
801041;-0.6470258856563618
320771;-0.6638091960140997
7781;-0.6645888323356424
6cf1953;-0.6647779629715522
1981;-0.6660786269397967
62931;-0.6667272697507656
824441;-0.6673216985637787
6cf1963;-0.6711810689787576
319051;-0.6716746562610787
151271;-0.6730407694993481
30711;-0.6797198129942856
50081;-0.6884859145844722
30481;-0.7094784244623433
822621;-0.7166607037344228
801261;-0.7175710033045846
809481;-0.7214714985785093
43951;-0.7228889129298537
800601;-0.7266985249800868
30571;-0.7320160373495561
800471;-0.7453062149998004
30701;-0.7512411177301317
63661;-0.7665831483924066
51511;-0.7806916521057943
820611;-0.7828037998180868
211;-0.8044130128953668
811221;-0.8089254543357747
797061;-0.824251214085912
618021;-0.8261752194829803
6cf1852;-0.8262231369216053
413151;-0.833728779172155
151161;-0.8428416610802891
10791;-0.8617780163381425
18061;-0.8671372539043674
780441;-0.8891104343330056
30751;-0.9143249871242851
26731;-0.9167611900644559
801521;-0.9596939810336345
29641;-0.9598164594848093
134461;-0.96498355657085
349311;-0.9694204358303828
325211;-0.9792541835928006
313481;-0.9809376844293176
561861;-0.9886948589552809
553811;-0.9987345173697442
mrt_37771trf_34_1649a;-1.0150902210261492
9111;-1.020889394262909
71791;-1.0265584186870669
610971;-1.0266172297058738
580881;-1.0364617638407054
659541;-1.054871908116933
mrt_325221trf_6_2860a;-1.0705515465168283
11391;-1.0988951559874884
6fr185;-1.101415977954158
358691;-1.1105193961721866
37881;-1.1176169503467328
71941;-1.1236716137316591
44131;-1.1301072769661857
29671;-1.1650608693580011
6421;-1.175948244033151
