PAC,long,lat
817631,-53.68756529310377,-27.53930864697645
817621,-53.68825595894532,-27.5394282702984
817611,-53.68829753910012,-27.538741780009104
817601,-53.68840588042701,-27.538024585965843
817591,-53.688519641967844,-27.53730557259405
817581,-53.688645663066836,-27.53659543463158
817571,-53.68881445682166,-27.535900347722816
817561,-53.68890340336935,-27.535276276678758
817551,-53.688975511010995,-27.534546791601088
817541,-53.68908260407886,-27.533824297853016
817531,-53.689137167746026,-27.53307268765434
817521,-53.68963940943115,-27.53314930719472
817511,-53.690491550344746,-27.533326424175073
817501,-53.69099188456778,-27.53330807350875
817471,-53.69178356585883,-27.533259355434836
817821,-53.68121254692147,-27.547544798353726
817801,-53.68119538965544,-27.546784559160017
817731,-53.68520560965112,-27.543705281373605
817791,-53.68111313496314,-27.546219552890022
817781,-53.68161763484591,-27.545957733262753
817771,-53.682593917275426,-27.54581229939805
817761,-53.68337545960975,-27.545613240758428
817751,-53.68412094902254,-27.54517632672605
817741,-53.68435800671659,-27.544518900726644
817811,-53.68513702285526,-27.54412915163897
817721,-53.685260730897994,-27.543356176246505
817711,-53.685370454482836,-27.54266990269383
817701,-53.68550578986026,-27.541975555927138
817691,-53.68561002038609,-27.541309056667615
817681,-53.68574172699908,-27.540615411372073
817671,-53.6858090331603,-27.54012032559251
817661,-53.68596449266715,-27.539417108812472
817991,-53.68090540595966,-27.559914375947642
817981,-53.68107821248947,-27.559156513662117
817971,-53.68120648639018,-27.55838660945443
817961,-53.68132717001282,-27.5576376936246
817951,-53.68133356868918,-27.556880699184887
817941,-53.68136340729535,-27.556142649863375
817931,-53.68139206599102,-27.555397675762094
817921,-53.681434540071905,-27.554625548430295
817911,-53.681456318054586,-27.55383487527922
817901,-53.68151268486247,-27.55305959222636
817891,-53.68150328694708,-27.55228566984772
817881,-53.68153958718216,-27.55156355471422
817871,-53.68153793602687,-27.550937537537266
817861,-53.681462133070966,-27.550309252270154
817851,-53.681378273988116,-27.549586840360348
817841,-53.681302715647746,-27.54888104972065
817831,-53.68126009407803,-27.54830598543282
818181,-53.677509961615385,-27.572064036925724
818151,-53.67731458839751,-27.57122738863302
818141,-53.67727575747017,-27.570441493580006
818131,-53.677212741075095,-27.56969350585058
818121,-53.67717946975671,-27.568890450833578
818111,-53.677299601195614,-27.56813830014238
818101,-53.67744903254675,-27.567417071740408
818091,-53.6775828543652,-27.566682609814563
818081,-53.67765301767258,-27.565949106565995
818071,-53.67770752108521,-27.565229437588414
818061,-53.67784430886769,-27.564513053834332
818051,-53.67819601843149,-27.563796492913752
818041,-53.67867278681962,-27.56314807362463
818031,-53.67911363178865,-27.562517216296442
818021,-53.67957636535692,-27.56188322932752
818011,-53.680100514527055,-27.561239755410327
818001,-53.680596972672106,-27.560610979113335
818331,-53.68427616571245,-27.578482807735327
818321,-53.684363551036995,-27.577930224700083
818311,-53.68413824568347,-27.57730988854047
818301,-53.6838174404225,-27.57689638206233
